ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"463","463","OH-507","392634","1681 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:12:49,2021-06-14 09:12:49,"5",,"42412"
"465","465","OH-507","399107","117 W Fayette St",,"Celina","OH","45822",3,2021-06-14 09:12:50,2021-06-14 09:12:50,"5",,"42412"
"466","466","OH-507","399133","2832 State Route 59",,"Ravenna","OH","44266",2,2021-06-14 09:12:50,2021-06-14 09:12:50,"5",,"42412"
"467","467","OH-507","399161","113 W. Central Avenue",,"Van Wert","OH","45891",3,2021-06-14 09:12:50,2021-06-14 09:12:50,"5",,"42412"
"468","468","OH-507","394998","124 W. Apple St.",,"Springfield","OH","45502",1,2021-06-14 09:12:51,2021-06-14 09:12:51,"5",,"42412"
"470","470","OH-507","399005","2233 Rocky Lane",,"Ashland","OH","44805",2,2021-06-14 09:12:52,2021-06-14 09:12:52,"5",,"42412"
"472","472","OH-507","393222","1001 Grove St","","Middletown","OH","45044",3,2021-06-14 09:12:54,2021-06-14 09:12:54,"5",,"42412"
"473","473","OH-507","393222","1001 Grove St","","Middletown","OH","45044",3,2021-06-14 09:12:54,2021-06-14 09:12:54,"5",,"42412"
"479","479","OH-507","399133","705 Oakwood St","Ste. 221","Ravenna","OH","44266",2,2021-06-14 09:12:57,2021-06-14 09:12:57,"5",,"42412"
"480","480","OH-507","399133","705 Oakwood St","Ste. 221","Ravenna","OH","44266",2,2021-06-14 09:12:58,2021-06-14 09:12:58,"5",,"42412"
"1103","481","OH-507","399133","705 Oakwood St","Ste. 221","Ravenna","OH","44266",2,2021-06-30 15:10:43,2021-06-30 15:10:43,"24",,"42412"
"482","482","OH-507","399133","705 Oakwood St","Ste. 221","Ravenna","OH","44266",2,2021-06-14 09:13:00,2021-06-14 09:13:00,"5",,"42412"
"485","485","OH-507","399109","530 Crescent Dr","","Troy","OH","45373",2,2021-06-14 09:13:02,2021-06-14 09:13:02,"5",,"42412"
"486","486","OH-507","399109","530 Crescent Dr","","Troy","OH","45373",2,2021-06-14 09:13:02,2021-06-14 09:13:02,"5",,"42412"
"487","487","OH-507","399109","530 Crescent Dr","","Troy","OH","45373",2,2021-06-14 09:13:03,2021-06-14 09:13:03,"5",,"42412"
"490","490","OH-507","391104","1744 Payne Ave.",,"Cleveland","OH","44114",1,2021-06-14 09:13:04,2021-06-14 09:13:04,"5",,"42412"
"1107","491","OH-507","391104","1744 Payne Ave.",,"Cleveland","OH","44114",1,2021-06-30 15:14:02,2021-06-30 15:14:02,"24",,"42412"
"493","493","OH-507","393558","112 South 3rd Street",,"Newark","OH","43055",2,2021-06-14 09:13:07,2021-06-14 09:13:07,"5",,"42412"
"494","494","OH-507","391176","966 Main St",,"Columbus","OH","43205",1,2021-06-14 09:13:07,2021-06-14 09:13:07,"5",,"42412"
"495","495","OH-507","395016","100 Reservoir Road",,"Steubenville","OH","43952",1,2021-06-14 09:13:08,2021-06-14 09:13:08,"5",,"42412"
"1226","496","OH-508",,,,,,,,2021-08-26 16:18:07,2021-08-26 16:18:07,"26",,"42412"
"1227","497","OH-508",,,,,,,,2021-08-26 16:18:30,2021-08-26 16:18:30,"26",,"42412"
"498","498","OH-507","392820","1600 Kansas Ave",,"Lorain","OH","44052",2,2021-06-14 09:13:09,2021-06-14 09:13:09,"5",,"42412"
"499","499","OH-507","395016","114 N. 4th Street",,"Steubenville","OH","43952",1,2021-06-14 09:13:10,2021-06-14 09:13:10,"5",,"42412"
