HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"212","212",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"213","213",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"214","214",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"215","215",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"216","216",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"217","217",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"218","218",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"219","219",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"220","220",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"221","221",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"222","222",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"223","223",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"224","224",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"225","225",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"226","226",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"227","227",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"228","228",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"229","229",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"230","230",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"231","231",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"232","232",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"233","233",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"234","234",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"237","237",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"238","238",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"239","239",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"242","242",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"243","243",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"244","244",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"245","245",1,2012-12-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"246","246",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"247","247",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"248","248",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"250","250",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"251","251",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"252","252",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"253","253",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"254","254",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"255","255",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"256","256",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"257","257",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"258","258",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"259","259",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"260","260",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"262","262",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"263","263",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
