InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"164","64","OH-507",3,,6,16,,,,,,16,,,2016-01-01,2018-11-30,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"165","65","OH-507",3,1,5,15,,,,,,,15,1,2015-12-01,2016-07-31,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"166","65","OH-507",1,1,38,38,,,,,,,38,1,2016-08-01,,2021-06-14 09:34:07,2021-08-08 10:44:19,"26",,"42412"
"167","65","OH-507",1,1,27,27,,,,,,,27,1,2011-01-01,2015-11-30,2021-06-14 09:34:07,2021-08-08 10:44:27,"26",,"42412"
"168","65","OH-507",1,1,38,38,,,,,,,38,1,2015-12-01,2016-07-31,2021-06-14 09:34:07,2021-08-08 10:44:34,"26",,"42412"
"169","65","OH-507",3,1,2,8,,,,,,,8,1,2011-01-01,2015-11-30,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"170","65","OH-507",3,1,6,12,,,,,,,12,1,2016-08-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"171","66","OH-507",3,1,5,13,,,,,,,13,1,2019-10-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"172","66","OH-507",1,1,2,2,,,,,,,2,1,2011-01-01,,2021-06-14 09:34:07,2021-07-05 13:38:06,"26",,"42412"
"173","66","OH-507",3,1,4,12,,,,,,,12,1,2011-01-01,2019-09-30,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"174","67","OH-507",3,1,4,7,,,,,,,7,1,2011-01-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"175","67","OH-507",1,1,10,10,,,,,,,10,1,2011-01-01,,2021-06-14 09:34:07,2021-07-06 18:55:47,"26",,"42412"
"176","68","OH-507",3,1,6,21,,,,,,,21,1,2011-01-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"177","69","OH-507",3,1,2,8,,,,,,,8,1,2018-01-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"178","69","OH-507",3,1,2,10,,,,,,,10,1,2011-01-27,2017-12-31,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"179","69","OH-507",1,1,6,6,,,,,,,6,1,2011-01-27,2017-12-31,2021-06-14 09:34:07,2021-07-01 13:08:56,"27",,"42412"
"180","69","OH-507",1,1,8,8,,,,,,,8,1,2018-01-01,,2021-06-14 09:34:07,2021-07-01 13:09:03,"27",,"42412"
"181","70","OH-507",3,1,6,16,,,,,,,16,1,2011-01-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"182","71","OH-507",3,1,7,21,,,,,,,21,1,2011-01-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"183","71","OH-507",1,1,16,16,,,,,,,16,1,2011-01-01,,2021-06-14 09:34:07,2021-07-06 22:56:14,"30",,"42412"
"184","72","OH-507",1,1,40,40,,,,,,,40,1,2011-01-01,,2021-06-14 09:34:07,2021-07-13 10:47:12,"28",,"42412"
"185","73","OH-507",3,1,2,6,,,,,,,6,1,2015-01-01,,2021-06-14 09:34:07,2021-06-14 09:34:07,"5",,"42412"
"186","73","OH-507",3,1,2,10,,,,,,,10,1,2011-01-01,2014-12-31,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"187","74","OH-507",1,1,8,8,,,,,,,8,1,2014-04-04,,2021-06-14 09:34:08,2021-07-07 13:21:14,"28",,"42412"
"188","74","OH-507",3,1,2,7,,,,,,,7,1,2014-04-04,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
