YouthEducationStatusID,EnrollmentID,PersonalID,InformationDate,CurrentSchoolAttend,MostRecentEdStatus,CurrentEdStatus,DataCollectionStage,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"692472","455931","146006",2023-05-24,,99,,3,2023-05-24 13:51:46,2024-05-20 09:57:18,"753",,"42412"
"666814","457028","145448",2023-02-23,,2,,1,2023-02-28 08:33:01,2024-05-20 10:02:06,"753",,"42412"
"696186","457028","145448",2023-03-29,,2,,3,2023-06-07 09:28:45,2023-06-07 09:28:45,"753",,"42412"
"671572","458912","117186",2023-03-13,,99,,1,2023-03-15 08:14:06,2024-05-20 10:02:58,"753",,"42412"
"758349","458912","117186",2024-01-02,,99,,3,2024-01-02 14:07:01,2024-05-20 10:07:38,"753",,"42412"
"673187","459550","97272",2023-03-20,,2,,1,2023-03-21 08:47:45,2024-05-21 11:26:11,"183",,"42412"
"710320","459550","97272",2023-07-24,,2,,3,2023-07-25 09:22:11,2024-05-21 11:26:26,"183",,"42412"
"685274","464368","149832",2023-04-24,,2,,1,2023-05-01 13:05:03,2023-06-17 16:37:33,"260",,"42412"
"789171","464368","149832",2024-03-31,,2,,3,2024-04-10 12:10:35,2024-04-24 12:53:25,"910",,"42412"
"685313","464394","942",2023-04-24,,99,,1,2023-05-01 13:33:27,2024-05-20 10:13:59,"753",,"42412"
"709442","464394","942",2023-07-31,,99,,3,2023-07-21 10:15:56,2024-05-20 10:12:02,"753",,"42412"
"685348","464411","148953",2023-04-06,,2,,1,2023-05-01 14:01:58,2024-05-20 10:19:01,"753",,"42412"
"706315","464411","148953",2023-07-10,,2,,3,2023-07-11 13:11:21,2024-05-20 10:19:21,"753",,"42412"
"685356","464416","148973",2023-04-07,,2,,1,2023-05-01 14:09:07,2024-05-20 10:20:18,"753",,"42412"
"696173","464416","148973",2023-06-05,,2,,3,2023-06-07 09:09:30,2024-05-20 10:20:33,"753",,"42412"
"685891","464658","146011",2023-04-27,,2,,1,2023-05-02 16:17:26,2023-05-02 16:17:26,"753",,"42412"
"710495","464658","146011",2023-11-17,,2,,3,2023-07-25 12:16:33,2023-11-20 09:59:09,"761",,"42412"
"691203","466884","85101",2023-05-17,,2,,1,2023-05-19 15:10:05,2024-05-17 12:08:57,"183",,"42412"
"847494","466884","85101",2024-10-07,,2,,3,2024-10-14 15:41:29,2024-11-25 13:53:45,"753",,"42412"
"691838","467120","77315",2023-05-22,,99,,1,2023-05-23 10:02:09,2024-05-21 08:33:20,"753",,"42412"
"737747","467120","77315",2023-10-20,2,,99,3,2023-10-23 11:08:58,2024-05-21 08:33:41,"753",,"42412"
"694304","468135","150053",2023-05-31,2,,99,1,2023-06-01 09:08:14,2024-05-20 09:44:45,"183",,"42412"
"700160","468135","150053",2023-06-16,2,,99,3,2023-06-21 08:41:48,2024-05-20 09:45:06,"183",,"42412"
"708103","473884","122474",2023-06-12,,99,,1,2023-07-17 15:43:22,2023-07-17 15:43:22,"753",,"42412"
"728996","473884","122474",2023-09-18,,99,,3,2023-09-25 14:03:06,2023-09-25 14:11:57,"761",,"42412"
"711978","475473","99158",2023-07-25,,2,,1,2023-07-31 08:53:32,2024-12-03 23:09:09,"260",,"42412"
"724998","481083","125241",2023-09-07,2,,99,1,2023-09-11 14:20:43,2024-05-20 11:37:41,"183",,"42412"
"735661","481083","125241",2023-10-16,2,,99,3,2023-10-16 11:12:28,2024-05-20 11:38:01,"183",,"42412"
"736544","485995","157539",2023-10-13,,99,,1,2023-10-18 12:34:40,2024-05-21 08:49:04,"753",,"42412"
"765056","485995","157539",2024-01-22,,99,,3,2024-01-22 12:21:08,2024-01-22 12:21:08,"753",,"42412"
"739681","487246","122474",2023-10-27,,99,,1,2023-10-27 15:13:53,2024-05-21 08:41:35,"753",,"42412"
"743538","488722","158533",2023-11-07,,3,,1,2023-11-09 15:09:58,2024-05-21 09:03:10,"753",,"42412"
"807468","488722","158533",2024-05-31,,3,,3,2024-06-11 08:28:27,2024-08-13 08:54:26,"753",,"42412"
"755555","493454","153270",2023-12-19,,99,,1,2023-12-19 15:14:23,2024-05-21 09:02:10,"753",,"42412"
"826675","493454","153270",2024-07-31,,99,,3,2024-08-12 08:25:55,2024-08-12 08:25:55,"910",,"42412"
"762122","495976","159720",2024-01-09,,99,,1,2024-01-11 14:26:45,2024-06-11 12:03:52,"183",,"42412"
"768510","498650","160943",2024-02-02,,2,,1,2024-01-31 13:14:49,2024-12-03 23:19:13,"260",,"42412"
"847498","498650","160943",2024-09-25,,2,,3,2024-10-14 15:44:06,2024-11-25 13:37:27,"753",,"42412"
"771487","499895","161991",2024-02-08,,2,,1,2024-02-09 08:33:22,2024-06-17 14:43:49,"260",,"42412"
"772934","500430","146011",2024-02-12,,2,,1,2024-02-14 10:38:39,2024-05-20 10:21:58,"753",,"42412"
"777343","502335","117423",2024-02-28,,99,,1,2024-03-01 09:52:31,2024-06-11 13:06:05,"183",,"42412"
"778191","502663","162103",2024-02-29,,2,,1,2024-03-05 08:34:17,2024-03-05 08:34:17,"753",,"42412"
"803979","502663","162103",2024-05-29,,2,,3,2024-05-30 08:52:25,2024-05-30 08:52:25,"910",,"42412"
"794133","509294","163592",2024-04-22,,2,,1,2024-04-26 08:50:35,2024-05-20 13:17:46,"260",,"42412"
"865676","537775","171090",2024-12-02,,2,,1,2024-12-05 14:42:39,2024-12-05 14:42:39,"910",,"42412"
"497403","382063","57442",2021-09-09,,2,,1,2021-09-09 15:30:13,2022-01-11 10:56:13,"391",,"42412"
"558785","382063","57442",2022-04-04,,2,,3,2022-04-06 11:15:15,2022-12-28 09:40:05,"391",,"42412"
"508294","387302","121854",2021-10-25,,99,,1,2021-10-25 12:52:07,2021-10-25 12:52:07,"391",,"42412"
"531541","387302","121854",2022-01-18,,99,,3,2022-01-18 15:39:56,2022-01-18 15:39:56,"391",,"42412"
"514293","390054","116206",2021-11-15,,2,,1,2021-11-15 13:46:57,2021-11-15 13:46:57,"391",,"42412"
"539025","390054","116206",2022-02-08,,2,,3,2022-02-09 08:17:46,2022-02-09 08:17:46,"391",,"42412"
"519717","392788","123951",2021-12-07,,2,,1,2021-12-07 14:24:59,2021-12-07 14:24:59,"391",,"42412"
"526297","392788","123951",2022-01-04,,2,,3,2022-01-04 08:50:09,2022-01-04 08:50:09,"391",,"42412"
"524954","395268","125422",2021-12-28,,2,,1,2021-12-28 15:39:50,2021-12-28 15:39:50,"543",,"42412"
"534529","395268","125422",2022-01-26,,2,,3,2022-01-26 14:15:52,2022-01-26 14:15:52,"543",,"42412"
"527135","396275","91383",2022-01-05,,99,,1,2022-01-05 15:00:34,2022-01-05 15:00:34,"391",,"42412"
"555417","396275","91383",2022-03-28,,99,,3,2022-03-29 11:56:45,2022-03-29 11:56:45,"391",,"42412"
"527145","396285","125679",2022-01-05,,2,,1,2022-01-05 15:10:51,2022-01-05 15:10:51,"391",,"42412"
"539027","396285","125679",2022-01-18,,2,,3,2022-02-09 08:40:23,2022-02-09 08:40:23,"391",,"42412"
"540865","402552","128452",2022-02-08,,2,,1,2022-02-14 12:14:26,2023-01-30 14:45:14,"391",,"42412"
"562921","402552","128452",2022-04-19,,2,,3,2022-04-20 09:22:25,2022-04-20 09:22:25,"391",,"42412"
"544936","404515","128157",2022-02-18,,99,,1,2022-02-24 15:02:50,2022-02-24 15:02:50,"155",,"42412"
"550299","404515","128157",2022-03-15,,99,,3,2022-03-14 09:58:31,2022-03-15 09:10:08,"155",,"42412"
"546036","405045","129366",2022-02-28,,99,,1,2022-03-01 08:15:59,2022-03-01 08:18:58,"391",,"42412"
"547647","405045","129366",2022-03-03,,99,,3,2022-03-04 13:21:05,2022-03-04 13:21:05,"391",,"42412"
"546993","405471","2473",2022-03-02,,2,,1,2022-03-03 08:43:47,2022-03-03 08:46:16,"543",,"42412"
"564502","405471","2473",2022-04-22,,2,,3,2022-04-22 13:20:58,2022-04-22 13:20:58,"543",,"42412"
"549698","406619","99067",2022-03-09,,99,,1,2022-03-10 15:45:50,2022-03-10 15:45:50,"543",,"42412"
"556247","406619","99067",2022-06-21,,99,,3,2022-03-30 12:22:15,2022-06-21 15:34:18,"543",,"42412"
"552937","408154","79784",2022-03-21,,99,,1,2022-03-22 08:57:06,2023-01-30 10:53:28,"391",,"42412"
"585282","408154","79784",2022-06-20,,99,,3,2022-06-22 15:10:06,2022-12-28 10:01:31,"391",,"42412"
"556330","409540","130490",2022-03-30,,99,,1,2022-03-30 13:23:09,2022-03-30 13:23:09,"391",,"42412"
"560023","409540","130490",2022-04-07,,99,,3,2022-04-08 13:59:54,2022-04-08 13:59:54,"391",,"42412"
"557165","409929","131131",2022-04-01,,99,,1,2022-04-01 11:35:39,2022-04-01 11:35:39,"391",,"42412"
"567991","409929","131131",2022-04-29,,99,,3,2022-04-29 15:06:35,2022-04-29 15:06:35,"391",,"42412"
"561064","411528","92577",2022-04-12,,99,,1,2022-04-13 09:15:52,2022-05-26 08:51:19,"543",,"42412"
"573222","411528","92577",2022-05-16,,99,,3,2022-05-16 15:27:57,2022-05-16 15:27:57,"543",,"42412"
"561322","411624","130979",2022-04-13,,99,,1,2022-04-13 14:52:57,2022-09-30 13:10:21,"391",,"42412"
"617547","411624","130979",2022-09-22,2,,2,3,2022-09-27 15:54:53,2022-12-28 09:33:39,"391",,"42412"
"563875","412640","131971",2022-04-21,,2,,1,2022-04-21 14:26:20,2022-04-21 14:26:20,"391",,"42412"
"574580","412640","131971",2022-05-19,,2,,3,2022-05-19 13:32:14,2022-05-19 13:32:14,"391",,"42412"
"564578","412934","129366",2022-04-22,,99,,1,2022-04-22 14:27:40,2022-04-22 14:27:40,"391",,"42412"
"570812","412934","129366",2022-05-09,,99,,3,2022-05-09 10:00:46,2023-09-13 15:53:21,"391",,"42412"
"568327","414240","130501",2022-03-29,,99,,1,2022-05-02 09:42:22,2022-05-02 09:42:22,"543",,"42412"
"569750","414240","130501",2022-05-02,,99,,3,2022-05-04 13:30:32,2022-05-04 13:30:32,"543",,"42412"
"574558","417051","133396",2022-05-18,,99,,1,2022-05-19 13:19:30,2022-05-19 13:19:30,"543",,"42412"
"587093","417051","133396",2022-06-28,,99,,3,2022-06-28 15:22:59,2022-06-28 15:22:59,"543",,"42412"
"575057","417297","133616",2022-05-20,,99,,1,2022-05-20 15:46:07,2022-05-20 15:46:07,"391",,"42412"
"584807","417297","133616",2022-06-01,,99,,3,2022-06-21 15:21:33,2022-06-21 15:21:33,"391",,"42412"
"576422","417975","133782",2022-05-25,,2,,1,2022-05-25 13:49:34,2022-05-25 13:49:34,"543",,"42412"
"579881","417975","133782",2022-06-06,,2,,3,2022-06-07 11:00:06,2022-06-07 11:00:06,"543",,"42412"
"579232","419169","75816",2022-06-02,,2,,1,2022-06-06 08:32:30,2022-06-06 08:34:43,"391",,"42412"
"587641","419169","75816",2022-06-29,,2,,3,2022-06-29 14:38:19,2022-06-29 14:38:19,"391",,"42412"
"583478","421085","121950",2022-06-14,,2,,1,2022-06-16 10:13:41,2022-06-16 10:13:41,"543",,"42412"
"599898","421085","121950",2022-08-03,,2,,3,2022-08-05 09:26:53,2022-08-05 09:26:53,"543",,"42412"
"587627","422964","97168",2022-06-29,,99,,1,2022-06-29 14:11:55,2022-06-29 14:11:55,"391",,"42412"
"602417","422964","97168",2022-08-12,,99,,3,2022-08-12 09:21:53,2022-08-12 09:37:45,"391",,"42412"
"588148","423193","89416",2022-06-30,,2,,1,2022-06-30 15:23:46,2022-06-30 15:23:46,"391",,"42412"
"604683","423193","89416",2022-08-19,,2,,3,2022-08-19 09:22:17,2022-08-19 09:22:17,"391",,"42412"
"588153","423197","135739",2022-06-30,,2,,1,2022-06-30 15:28:14,2022-06-30 15:28:14,"543",,"42412"
"598903","423197","135739",2022-07-25,,2,,3,2022-08-03 11:46:40,2023-08-31 11:17:00,"543",,"42412"
"590249","424113","119206",2022-07-07,,99,,1,2022-07-07 13:58:59,2022-07-07 13:58:59,"391",,"42412"
"600339","424113","119206",2022-08-04,,99,,3,2022-08-08 09:22:08,2022-08-08 09:22:08,"391",,"42412"
"592049","424908","136084",2022-07-13,,99,,1,2022-07-13 15:42:45,2022-09-14 13:33:44,"422",,"42412"
"613031","424908","136084",2022-09-13,,99,,3,2022-09-14 13:34:17,2022-09-14 13:34:17,"422",,"42412"
